invoice date,quantity
7/4/2011,15682
7/5/2011,21696
7/6/2011,19275
7/7/2011,18956
7/8/2011,11681
7/9/2011,0
7/10/2011,4214
7/11/2011,14989
7/12/2011,13760
7/13/2011,16206
7/14/2011,16904
7/15/2011,6841
7/16/2011,0
7/17/2011,11042
7/18/2011,14366
7/19/2011,26287
7/20/2011,16795
7/21/2011,19747
7/22/2011,10019
7/23/2011,0
7/24/2011,17271
7/25/2011,15457
7/26/2011,13560
7/27/2011,13859
7/28/2011,29700
7/29/2011,11472
7/30/2011,0
7/31/2011,20873
8/1/2011,9947
8/2/2011,15624
8/3/2011,15660
8/4/2011,37992
8/5/2011,12200
8/6/2011,0
8/7/2011,5080
8/8/2011,13104
8/9/2011,15605
8/10/2011,14228
8/11/2011,40191
8/12/2011,11962
8/13/2011,0
8/14/2011,3135
8/15/2011,10141
8/16/2011,11213
8/17/2011,23567
8/18/2011,33122
8/19/2011,10609
8/20/2011,0
8/21/2011,8164
8/22/2011,15387
8/23/2011,15112
8/24/2011,29288
8/25/2011,13184
8/26/2011,17756
8/27/2011,0
8/28/2011,6770
8/29/2011,0
8/30/2011,10182
8/31/2011,6976
9/1/2011,27829
9/2/2011,10725
9/3/2011,0
9/4/2011,10941
9/5/2011,23484
9/6/2011,14959
9/7/2011,16211
9/8/2011,16944
9/9/2011,16100
9/10/2011,0
9/11/2011,21122
9/12/2011,17086
9/13/2011,36904
9/14/2011,9590
9/15/2011,29181
9/16/2011,15166
9/17/2011,0
9/18/2011,8966
9/19/2011,28973
9/20/2011,43702
9/21/2011,19581
9/22/2011,32263
9/23/2011,21222
9/24/2011,0
9/25/2011,19329
9/26/2011,14948
9/27/2011,21060
9/28/2011,25157
9/29/2011,26365
9/30/2011,22009
10/1/2011,0
10/2/2011,8380
10/3/2011,24652
10/4/2011,18689
10/5/2011,46161
10/6/2011,31268
10/7/2011,30431
10/8/2011,0
10/9/2011,7275
10/10/2011,25405
10/11/2011,20091
10/12/2011,15525
10/13/2011,17859
10/14/2011,17475
10/15/2011,0
10/16/2011,8311
10/17/2011,30214
10/18/2011,28960
10/19/2011,19039
10/20/2011,40802
10/21/2011,24728
10/22/2011,0
10/23/2011,7068
10/24/2011,21514
10/25/2011,24686
10/26/2011,20865
10/27/2011,32301
10/28/2011,23845
10/29/2011,0
10/30/2011,20062
10/31/2011,4926
11/1/2011,16686
11/2/2011,28319
11/3/2011,34019
11/4/2011,33546
11/5/2011,0
11/6/2011,23295
11/7/2011,27689
11/8/2011,26124
11/9/2011,36238
11/10/2011,38077
11/11/2011,28513
11/12/2011,0
11/13/2011,20356
11/14/2011,45959
11/15/2011,30221
11/16/2011,29353
11/17/2011,30779
11/18/2011,23535
11/19/2011,0
11/20/2011,19369
11/21/2011,24004
11/22/2011,35284
11/23/2011,37350
11/24/2011,23743
11/25/2011,31026
11/26/2011,0
11/27/2011,11161
11/28/2011,28647
11/29/2011,30511
11/30/2011,26482
12/1/2011,26819
12/2/2011,26952
12/3/2011,0
12/4/2011,12396
12/5/2011,44119
12/6/2011,29026
12/7/2011,39612
12/8/2011,34460
12/9/2011,12949
12/10/2011,0
